rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
9032	ZNF514	zinc finger protein 514	1185506	3	2	3	1	0	1	1	0	1	0	0.546	0.907	0.664	0.440	0.712	0.756	1.000
9033	DCAF15	DDB1 and CUL4 associated factor 15	1258945	1	1	1	0	0	0	0	0	1	0	0.756	1.000	NaN	NaN	NaN	0.756	1.000
9034	GTF2H3	general transcription factor IIH, polypeptide 3, 34kDa	953086	2	2	2	1	0	0	0	1	1	0	0.399	0.894	0.845	0.372	0.974	0.756	1.000
9035	IFI44L	interferon-induced protein 44-like	1342625	1	1	1	0	0	0	1	0	0	0	0.756	0.808	NaN	NaN	NaN	0.756	1.000
9036	ZNF558	zinc finger protein 558	1195146	1	1	1	1	0	0	0	0	1	0	0.757	1.000	NaN	NaN	NaN	0.757	1.000
9037	DHRS7B	dehydrogenase/reductase (SDR family) member 7B	967157	1	1	1	0	0	0	1	0	0	0	0.757	0.747	NaN	NaN	NaN	0.757	1.000
9038	RAB6C	RAB6C, member RAS oncogene family	738284	2	2	2	0	0	1	1	0	0	0	0.416	0.662	0.477	0.826	0.936	0.757	1.000
9039	FBLN5	fibulin 5	1350241	1	1	1	0	0	0	0	1	0	0	0.757	0.828	NaN	NaN	NaN	0.757	1.000
9040	TRIM35	tripartite motif-containing 35	833989	1	1	1	0	1	0	0	0	0	0	0.757	0.749	NaN	NaN	NaN	0.757	1.000
9041	WDR61	WD repeat domain 61	931914	2	2	2	0	0	1	0	0	1	0	0.390	0.822	0.697	0.986	1.000	0.757	1.000
9042	CTDSPL	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like	750742	2	2	2	0	0	2	0	0	0	0	0.390	0.507	0.331	0.323	1.000	0.757	1.000
9043	SIAH3	siah E3 ubiquitin protein ligase family member 3	760713	1	1	1	1	0	0	1	0	0	0	0.757	0.929	NaN	NaN	NaN	0.757	1.000
9044	TMEM150C	transmembrane protein 150C	757741	1	1	1	0	0	1	0	0	0	0	0.757	0.723	NaN	NaN	NaN	0.757	1.000
9045	SCARF1	scavenger receptor class F, member 1	1360589	1	1	1	0	0	0	0	0	1	0	0.757	1.000	NaN	NaN	NaN	0.757	1.000
9046	DDI2	DDI1, DNA-damage inducible 1, homolog 2 (S. cerevisiae)	1086646	2	2	2	0	0	0	2	0	0	0	0.390	0.611	0.911	0.452	1.000	0.757	1.000
9047	SLC13A3	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3	1686633	8	7	8	3	2	2	1	3	0	0	0.482	0.562	0.656	0.812	0.810	0.757	1.000
9048	ZSWIM4	zinc finger, SWIM-type containing 4	2229200	6	6	6	1	3	2	1	0	0	0	0.390	0.320	0.809	0.605	1.000	0.757	1.000
9049	ZSCAN22	zinc finger and SCAN domain containing 22	1425352	3	3	3	0	1	0	1	0	1	0	0.477	0.535	0.918	0.573	0.818	0.758	1.000
9050	WDR19	WD repeat domain 19	4024409	5	5	5	1	0	2	3	0	0	0	0.805	0.690	0.378	0.377	0.485	0.758	1.000
9051	SPAG7	sperm associated antigen 7	685287	1	1	1	0	0	1	0	0	0	0	0.758	0.805	NaN	NaN	NaN	0.758	1.000
9052	BMPR2	bone morphogenetic protein receptor, type II (serine/threonine kinase)	3078644	8	8	7	4	1	1	1	2	3	0	0.763	0.918	0.334	0.534	0.511	0.758	1.000
9053	ASB11	ankyrin repeat and SOCS box-containing 11	1091357	2	2	2	0	1	0	0	0	1	0	0.516	0.722	0.929	0.210	0.757	0.758	1.000
9054	ZNF830	zinc finger protein 830	1088691	3	3	3	0	0	0	1	1	1	0	0.391	0.608	0.957	0.986	1.000	0.758	1.000
9055	ATM	ataxia telangiectasia mutated	9160787	23	21	22	4	2	6	2	6	7	0	0.549	0.516	0.890	0.291	0.712	0.758	1.000
9056	DNAJC13	DnaJ (Hsp40) homolog, subfamily C, member 13	6771501	13	12	13	4	2	3	2	3	3	0	0.997	0.803	0.409	0.163	0.392	0.758	1.000
9057	GPR89A	G protein-coupled receptor 89A	990210	1	1	1	1	0	0	0	0	1	0	0.758	0.945	NaN	NaN	NaN	0.758	1.000
9058	DIS3L	DIS3 mitotic control homolog (S. cerevisiae)-like	2988489	5	5	5	1	0	2	1	0	2	0	0.691	0.761	0.383	0.671	0.566	0.759	1.000
9059	FCGBP	Fc fragment of IgG binding protein	9467171	28	27	27	27	11	2	10	3	2	0	1.000	1.000	0.280	0.308	0.392	0.759	1.000
9060	GDPD2	glycerophosphodiester phosphodiesterase domain containing 2	1737511	2	2	2	0	0	0	0	1	1	0	0.802	0.609	0.149	0.666	0.488	0.759	1.000
9061	PNO1	partner of NOB1 homolog (S. cerevisiae)	724550	2	2	2	0	0	1	1	0	0	0	0.392	0.621	0.767	0.282	1.000	0.759	1.000
9062	PKN3	protein kinase N3	2151218	4	3	4	2	1	1	0	0	2	0	0.894	0.729	0.651	0.158	0.439	0.759	1.000
9063	VRK1	vaccinia related kinase 1	1207171	2	2	2	0	0	0	1	0	1	0	0.392	0.840	0.924	0.795	1.000	0.759	1.000
9064	SKA3	spindle and kinetochore associated complex subunit 3	1186350	1	1	1	1	0	1	0	0	0	0	0.760	0.985	NaN	NaN	NaN	0.760	1.000
9065	GPR65	G protein-coupled receptor 65	992765	1	1	1	0	0	0	0	0	1	0	0.760	1.000	NaN	NaN	NaN	0.760	1.000
9066	PRDM2	PR domain containing 2, with ZNF domain	4881041	8	8	8	3	1	3	0	2	2	0	0.994	0.885	0.613	0.134	0.395	0.760	1.000
9067	CGN	cingulin	3490075	7	6	7	3	2	2	0	2	1	0	0.997	0.900	0.314	0.276	0.394	0.760	1.000
9068	SEL1L3	sel-1 suppressor of lin-12-like 3 (C. elegans)	3212807	6	6	6	3	0	4	2	0	0	0	1.000	0.893	0.219	0.921	0.393	0.760	1.000
9069	CLDN10	claudin 10	850225	2	2	2	1	0	1	1	0	0	0	0.408	0.814	0.884	0.340	0.962	0.760	1.000
9070	CWF19L1	CWF19-like 1, cell cycle control (S. pombe)	1632982	3	3	3	0	0	1	0	2	0	0	0.393	0.494	0.509	0.631	1.000	0.760	1.000
9071	TAS2R19	taste receptor, type 2, member 19	881261	2	2	2	0	0	1	0	0	1	0	0.393	0.661	0.864	0.570	1.000	0.760	1.000
9072	TEAD2	TEA domain family member 2	1276759	1	1	1	1	0	0	1	0	0	0	0.760	0.953	NaN	NaN	NaN	0.760	1.000
9073	IYD	iodotyrosine deiodinase	1012903	1	1	1	2	0	0	0	0	1	0	0.760	1.000	NaN	NaN	NaN	0.760	1.000
9074	GRM6	glutamate receptor, metabotropic 6	1714336	2	2	2	3	1	1	0	0	0	0	1.000	0.963	0.210	0.136	0.393	0.760	1.000
9075	LONRF1	LON peptidase N-terminal domain and ring finger 1	1594847	3	3	3	0	0	1	2	0	0	0	0.393	0.615	0.638	0.720	1.000	0.760	1.000
9076	ERMN	ermin, ERM-like protein	888314	1	1	1	1	0	0	0	0	1	0	0.760	0.966	NaN	NaN	NaN	0.760	1.000
9077	ZNF418	zinc finger protein 418	1995056	5	4	5	0	2	0	1	1	1	0	0.393	0.399	0.800	0.568	1.000	0.760	1.000
9078	GALNT8	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 8 (GalNAc-T8)	1907714	5	5	5	4	3	0	1	1	0	0	1.000	0.951	0.415	0.228	0.393	0.760	1.000
9079	PDE5A	phosphodiesterase 5A, cGMP-specific	2656934	6	4	6	2	2	1	1	0	2	0	0.940	0.785	0.605	0.238	0.418	0.760	1.000
9080	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	1080110	1	1	1	1	0	0	1	0	0	0	0.760	0.924	NaN	NaN	NaN	0.760	1.000
9081	TENC1	tensin like C1 domain containing phosphatase (tensin 2)	3273459	5	5	5	1	0	2	2	0	1	0	0.563	0.593	0.435	0.760	0.698	0.760	1.000
9082	ACTR1B	ARP1 actin-related protein 1 homolog B, centractin beta (yeast)	1051908	2	2	2	0	0	1	1	0	0	0	0.581	0.505	0.491	0.788	0.677	0.760	1.000
9083	WNK3	WNK lysine deficient protein kinase 3	5338864	16	14	16	5	1	7	4	1	2	1	0.985	0.883	0.274	0.892	0.399	0.761	1.000
9084	CDH19	cadherin 19, type 2	2294899	6	6	6	2	0	2	2	1	1	0	0.584	0.825	0.463	0.520	0.674	0.761	1.000
9085	FAM53B	family with sequence similarity 53, member B	867348	2	2	2	0	0	0	0	0	2	0	0.394	0.740	0.335	0.498	1.000	0.761	1.000
9086	MAPRE3	microtubule-associated protein, RP/EB family, member 3	844070	2	2	2	0	0	0	2	0	0	0	0.394	0.596	0.492	0.879	1.000	0.761	1.000
9087	MAGEF1	melanoma antigen family F, 1	787567	1	1	1	0	1	0	0	0	0	0	0.761	0.709	NaN	NaN	NaN	0.761	1.000
9088	USP7	ubiquitin specific peptidase 7 (herpes virus-associated)	3269584	6	6	6	0	1	4	0	0	1	0	0.691	0.226	0.511	0.358	0.570	0.761	1.000
9089	OTOP1	otopetrin 1	1410712	1	1	1	1	1	0	0	0	0	0	0.761	0.922	NaN	NaN	NaN	0.761	1.000
9090	DCLK1	doublecortin-like kinase 1	2151508	6	6	6	3	1	2	0	2	1	0	0.923	0.838	0.450	0.114	0.426	0.761	1.000
9091	MYO1G	myosin IG	2392582	3	3	3	0	1	0	1	0	1	0	0.749	0.553	0.251	0.823	0.526	0.761	1.000
9092	SIPA1L1	signal-induced proliferation-associated 1 like 1	5339260	7	7	7	9	1	2	1	3	0	0	1.000	0.999	0.704	0.139	0.394	0.761	1.000
9093	TBPL2	TATA box binding protein like 2	992854	2	2	2	0	0	2	0	0	0	0	0.721	0.691	0.642	0.313	0.546	0.761	1.000
9094	XKR3	XK, Kell blood group complex subunit-related family, member 3	883076	2	2	2	0	0	1	1	0	0	0	0.394	0.630	0.409	0.708	1.000	0.761	1.000
9095	NCSTN	nicastrin	2146587	6	5	6	2	0	2	2	1	1	0	0.527	0.694	0.716	0.416	0.748	0.761	1.000
9096	NACC1	nucleus accumbens associated 1, BEN and BTB (POZ) domain containing	1052440	1	1	1	2	0	0	0	0	1	0	0.761	1.000	NaN	NaN	NaN	0.761	1.000
9097	SLC25A33	solute carrier family 25, member 33	911633	1	1	1	0	0	0	0	0	1	0	0.761	0.757	NaN	NaN	NaN	0.761	1.000
9098	LILRA3	leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3	1262395	2	2	2	0	1	0	1	0	0	0	0.606	0.518	0.222	0.310	0.651	0.761	1.000
9099	DIXDC1	DIX domain containing 1	2065385	3	3	3	0	0	1	1	0	1	0	0.765	0.484	0.280	0.679	0.515	0.761	1.000
9100	KIF21B	kinesin family member 21B	4750487	13	13	13	4	4	2	1	4	2	0	0.888	0.639	0.280	0.934	0.444	0.761	1.000
9101	ZNF655	zinc finger protein 655	1930661	2	2	2	1	0	1	0	1	0	0	0.838	0.918	0.0573	0.662	0.471	0.761	1.000
9102	ITM2C	integral membrane protein 2C	627265	1	1	1	0	1	0	0	0	0	0	0.761	0.733	NaN	NaN	NaN	0.761	1.000
9103	ATRX	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	7408333	22	17	22	4	2	11	2	3	4	0	0.989	0.752	0.214	0.531	0.399	0.761	1.000
9104	SERPINI1	serpin peptidase inhibitor, clade I (neuroserpin), member 1	1233074	2	2	2	1	0	0	1	0	1	0	0.404	0.960	0.145	0.568	0.976	0.762	1.000
9105	YARS2	tyrosyl-tRNA synthetase 2, mitochondrial	1309336	1	1	1	1	0	1	0	0	0	0	0.762	0.958	NaN	NaN	NaN	0.762	1.000
9106	TDRD12	tudor domain containing 12	1018595	5	5	5	2	1	0	1	3	0	0	0.395	0.839	0.525	0.632	1.000	0.762	1.000
9107	PICALM	phosphatidylinositol binding clathrin assembly protein	2001191	3	3	3	0	0	2	0	0	1	0	0.688	0.662	0.473	0.470	0.574	0.762	1.000
9108	CCDC160	coiled-coil domain containing 160	916792	1	1	1	0	0	0	0	1	0	0	0.762	0.787	NaN	NaN	NaN	0.762	1.000
9109	PVRIG	poliovirus receptor related immunoglobulin domain containing	877285	2	2	2	0	0	0	2	0	0	0	0.398	0.568	0.410	0.776	0.992	0.762	1.000
9110	SLC35E3	solute carrier family 35, member E3	933382	2	2	2	1	0	1	0	0	1	0	0.395	0.908	0.523	0.841	1.000	0.762	1.000
9111	IGSF10	immunoglobulin superfamily, member 10	7697458	16	15	16	7	3	6	2	3	2	0	1.000	0.877	0.245	0.534	0.395	0.762	1.000
9112	TRPM1	transient receptor potential cation channel, subfamily M, member 1	4786799	7	5	7	2	1	2	1	2	1	0	0.935	0.619	0.501	0.222	0.422	0.762	1.000
9113	ACY1	aminoacylase 1	1157893	2	2	2	0	0	1	0	0	1	0	0.395	0.709	0.947	0.649	1.000	0.762	1.000
9114	PRR16	proline rich 16	737871	2	2	2	1	0	2	0	0	0	0	0.412	0.864	0.797	0.0332	0.959	0.762	1.000
9115	LSP1	lymphocyte-specific protein 1	877070	1	1	1	1	0	1	0	0	0	0	0.762	0.958	NaN	NaN	NaN	0.762	1.000
9116	ZNF3	zinc finger protein 3	1451412	1	1	1	1	1	0	0	0	0	0	0.762	0.924	NaN	NaN	NaN	0.762	1.000
9117	SPOCK2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	1101171	3	3	3	0	1	0	1	1	0	0	0.572	0.439	0.869	0.424	0.692	0.762	1.000
9118	RAB10	RAB10, member RAS oncogene family	611297	2	2	2	1	1	1	0	0	0	0	0.540	0.780	0.468	0.510	0.733	0.763	1.000
9119	STAMBPL1	STAM binding protein-like 1	1309621	2	2	2	0	0	1	0	0	1	0	0.500	0.689	0.550	0.756	0.791	0.763	1.000
9120	BNIP2	BCL2/adenovirus E1B 19kDa interacting protein 2	991365	1	1	1	0	0	1	0	0	0	0	0.763	0.884	NaN	NaN	NaN	0.763	1.000
9121	GPR149	G protein-coupled receptor 149	2050913	3	3	3	2	0	1	1	1	0	0	0.930	0.929	0.772	0.140	0.425	0.763	1.000
9122	EIF2AK2	eukaryotic translation initiation factor 2-alpha kinase 2	1673718	3	2	3	0	0	3	0	0	0	0	0.749	0.711	0.708	0.175	0.528	0.763	1.000
9123	CCR6	chemokine (C-C motif) receptor 6	1098845	1	1	1	1	0	1	0	0	0	0	0.763	0.906	NaN	NaN	NaN	0.763	1.000
9124	ISLR	immunoglobulin superfamily containing leucine-rich repeat	1052827	3	3	3	2	0	1	1	1	0	0	0.666	0.820	0.658	0.311	0.595	0.763	1.000
9125	BDP1	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	7684069	11	11	11	4	0	5	4	1	1	0	1.000	0.904	0.755	0.108	0.396	0.763	1.000
9126	ADH6	alcohol dehydrogenase 6 (class V)	1138757	2	2	2	0	0	1	1	0	0	0	0.548	0.620	0.412	0.925	0.722	0.763	1.000
9127	DDN	dendrin	1069760	1	1	1	0	1	0	0	0	0	0	0.763	0.694	NaN	NaN	NaN	0.763	1.000
9128	SIRT2	sirtuin (silent mating type information regulation 2 homolog) 2 (S. cerevisiae)	1105958	1	1	1	1	1	0	0	0	0	0	0.763	0.927	NaN	NaN	NaN	0.763	1.000
9129	UNC5CL	unc-5 homolog C (C. elegans)-like	1304593	1	1	1	0	1	0	0	0	0	0	0.763	0.734	NaN	NaN	NaN	0.763	1.000
9130	NCAM2	neural cell adhesion molecule 2	2505478	4	4	4	1	1	0	1	1	1	0	0.447	0.770	0.687	0.416	0.887	0.763	1.000
9131	TNR	tenascin R (restrictin, janusin)	4048013	10	10	10	3	4	2	1	2	1	0	0.775	0.652	0.460	0.315	0.511	0.763	1.000
9132	RUNX1T1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	1825573	5	4	5	5	1	2	1	1	0	0	1.000	0.983	0.352	0.510	0.396	0.763	1.000
9133	RNASET2	ribonuclease T2	731762	1	1	1	0	0	1	0	0	0	0	0.763	0.783	NaN	NaN	NaN	0.763	1.000
9134	GALR1	galanin receptor 1	757435	1	1	1	1	0	0	0	1	0	0	0.763	0.959	NaN	NaN	NaN	0.763	1.000
9135	SYCP2L	synaptonemal complex protein 2-like	2489114	5	4	5	3	0	1	0	1	3	0	0.761	0.949	0.326	0.302	0.521	0.763	1.000
9136	GNAI1	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	961244	2	2	2	0	0	1	0	1	0	0	0.397	0.623	0.998	0.397	1.000	0.763	1.000
9137	MATN1	matrilin 1, cartilage matrix protein	1121334	2	2	2	0	0	0	0	1	1	0	0.397	0.600	0.740	0.976	1.000	0.763	1.000
9138	ZNF654	zinc finger protein 654	1691336	3	3	3	0	0	1	1	0	1	0	0.397	0.761	0.755	0.536	1.000	0.763	1.000
9139	CDH16	cadherin 16, KSP-cadherin	2354789	6	6	6	1	1	2	0	1	2	0	0.497	0.470	0.565	0.815	0.798	0.763	1.000
9140	SOX30	SRY (sex determining region Y)-box 30	1642753	5	4	5	0	0	4	0	0	1	0	0.397	0.236	0.819	0.577	1.000	0.764	1.000
9141	RGAG4	retrotransposon gag domain containing 4	1344153	2	2	2	0	1	0	1	0	0	0	0.580	0.545	0.501	0.140	0.684	0.764	1.000
9142	MFHAS1	malignant fibrous histiocytoma amplified sequence 1	1976190	2	2	2	0	0	0	0	2	0	0	0.839	0.703	0.105	0.757	0.473	0.764	1.000
9143	DNAJC8	DnaJ (Hsp40) homolog, subfamily C, member 8	777577	1	1	1	0	0	1	0	0	0	0	0.764	0.845	NaN	NaN	NaN	0.764	1.000
9144	PHKG2	phosphorylase kinase, gamma 2 (testis)	1193964	1	1	1	0	0	1	0	0	0	0	0.764	0.703	NaN	NaN	NaN	0.764	1.000
9145	SHROOM1	shroom family member 1	1293318	1	1	1	0	0	1	0	0	0	0	0.764	0.785	NaN	NaN	NaN	0.764	1.000
9146	MYO19	myosin XIX	2825438	3	3	3	1	0	0	0	2	1	0	0.929	0.913	0.533	0.129	0.427	0.764	1.000
9147	AR	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	2134883	6	6	6	3	0	2	0	1	3	0	0.623	0.873	0.481	0.477	0.638	0.764	1.000
9148	MYLIP	myosin regulatory light chain interacting protein	1293383	2	2	2	0	0	0	1	1	0	0	0.397	0.637	0.637	0.367	1.000	0.764	1.000
9149	WBP11	WW domain binding protein 11	1891257	3	3	3	1	0	1	0	1	1	0	0.663	0.806	0.363	0.683	0.599	0.764	1.000
9150	FAM92A1	family with sequence similarity 92, member A1	830522	2	2	2	0	0	0	1	1	0	0	0.397	0.625	0.973	0.673	1.000	0.764	1.000
9151	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1	907248	2	2	2	0	0	1	1	0	0	0	0.404	0.465	0.258	0.451	0.984	0.764	1.000
9152	SLC22A18	solute carrier family 22, member 18	764906	2	2	2	1	0	0	1	1	0	0	0.415	0.854	0.607	0.931	0.957	0.764	1.000
9153	CYTH4	cytohesin 4	1166043	3	3	3	2	1	1	0	1	0	0	0.696	0.866	0.340	0.759	0.571	0.764	1.000
9154	GTPBP2	GTP binding protein 2	1744326	2	2	2	0	1	0	1	0	0	0	0.660	0.539	0.0478	0.433	0.602	0.764	1.000
9155	DDX43	DEAD (Asp-Glu-Ala-Asp) box polypeptide 43	1951329	4	4	4	0	1	1	1	0	1	0	0.398	0.518	0.538	0.909	1.000	0.764	1.000
9156	KCNA3	potassium voltage-gated channel, shaker-related subfamily, member 3	1268225	3	3	3	1	2	0	0	0	1	0	0.590	0.774	0.542	0.711	0.674	0.764	1.000
9157	ST3GAL2	ST3 beta-galactoside alpha-2,3-sialyltransferase 2	934572	2	2	2	1	2	0	0	0	0	0	0.398	0.881	0.790	0.970	1.000	0.764	1.000
9158	CDT1	chromatin licensing and DNA replication factor 1	704953	1	1	1	0	1	0	0	0	0	0	0.764	0.691	NaN	NaN	NaN	0.764	1.000
9159	KIF13B	kinesin family member 13B	4525260	8	8	8	3	2	2	0	1	3	0	0.988	0.835	0.249	0.469	0.403	0.764	1.000
9160	DYNC1LI1	dynein, cytoplasmic 1, light intermediate chain 1	1488005	3	1	3	1	0	3	0	0	0	0	0.939	0.875	0.353	0.670	0.423	0.764	1.000
9161	SOCS5	suppressor of cytokine signaling 5	1559788	1	1	1	0	0	1	0	0	0	0	0.765	0.865	NaN	NaN	NaN	0.765	1.000
9162	KLF5	Kruppel-like factor 5 (intestinal)	1079694	1	1	1	0	1	0	0	0	0	0	0.765	0.689	NaN	NaN	NaN	0.765	1.000
9163	ZNF365	zinc finger protein 365	2079758	7	5	7	1	2	0	1	4	0	0	0.398	0.405	0.713	0.678	1.000	0.765	1.000
9164	ATP5SL	ATP5S-like	791301	1	1	1	1	0	0	1	0	0	0	0.765	0.973	NaN	NaN	NaN	0.765	1.000
9165	KRT34	keratin 34	1307933	3	3	3	0	1	0	1	0	1	0	0.398	0.383	0.947	0.241	1.000	0.765	1.000
9166	TRIM9	tripartite motif-containing 9	1904819	3	3	3	3	1	1	0	1	0	0	1.000	0.955	0.353	0.930	0.398	0.765	1.000
9167	SHPK	sedoheptulokinase	1264432	1	1	1	1	0	1	0	0	0	0	0.765	0.894	NaN	NaN	NaN	0.765	1.000
9168	KCNMA1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	3670669	9	8	9	2	3	1	0	3	2	0	0.398	0.569	0.740	0.932	1.000	0.765	1.000
9169	CFLAR	CASP8 and FADD-like apoptosis regulator	1477225	1	1	1	1	0	0	1	0	0	0	0.765	0.945	NaN	NaN	NaN	0.765	1.000
9170	GABPB2	GA binding protein transcription factor, beta subunit 2	1346880	2	2	2	0	0	1	0	0	1	0	0.660	0.786	0.0401	0.00891	0.603	0.765	1.000
9171	ZRANB2	zinc finger, RAN-binding domain containing 2	1043661	2	2	2	0	0	0	2	0	0	0	0.399	0.639	0.743	0.798	1.000	0.765	1.000
9172	NR1I3	nuclear receptor subfamily 1, group I, member 3	1196780	2	2	2	0	0	0	0	0	2	0	0.493	0.788	0.333	0.611	0.808	0.765	1.000
9173	ZNF7	zinc finger protein 7	2010604	2	2	2	1	1	1	0	0	0	0	0.945	0.883	0.0934	0.897	0.422	0.765	1.000
9174	GCC1	GRIP and coiled-coil domain containing 1	2252600	3	3	3	1	0	2	1	0	0	0	0.532	0.782	0.509	0.430	0.750	0.765	1.000
9175	LBP	lipopolysaccharide binding protein	1425234	1	1	1	0	0	0	0	1	0	0	0.765	0.842	NaN	NaN	NaN	0.765	1.000
9176	MYD88	myeloid differentiation primary response gene (88)	760800	1	1	1	1	0	0	0	1	0	0	0.766	0.967	NaN	NaN	NaN	0.766	1.000
9177	EPX	eosinophil peroxidase	2108565	4	4	4	1	3	1	0	0	0	0	0.548	0.612	0.757	0.349	0.728	0.766	1.000
9178	BPHL	biphenyl hydrolase-like (serine hydrolase; breast epithelial mucin-associated antigen)	775757	1	1	1	1	1	0	0	0	0	0	0.766	0.942	NaN	NaN	NaN	0.766	1.000
9179	ZNF492	zinc finger protein 492	1422818	4	4	4	3	0	2	0	1	1	0	0.778	0.987	0.319	0.912	0.513	0.766	1.000
9180	MAT2A	methionine adenosyltransferase II, alpha	1172571	3	3	3	1	0	3	0	0	0	0	0.399	0.831	0.503	0.566	1.000	0.766	1.000
9181	LRRC6	leucine rich repeat containing 6	1411984	1	1	1	0	1	0	0	0	0	0	0.766	0.746	NaN	NaN	NaN	0.766	1.000
9182	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7	794977	1	1	1	0	0	0	0	1	0	0	0.766	0.803	NaN	NaN	NaN	0.766	1.000
9183	NOTCH2	Notch homolog 2 (Drosophila)	7170943	18	18	18	3	1	5	3	2	7	0	0.609	0.480	0.486	0.987	0.655	0.766	1.000
9184	UGT1A4	UDP glucuronosyltransferase 1 family, polypeptide A4	1586708	2	2	2	0	0	0	0	2	0	0	0.785	0.648	0.434	0.439	0.509	0.766	1.000
9185	ARHGEF10	Rho guanine nucleotide exchange factor (GEF) 10	3732015	5	5	5	1	1	2	1	1	0	0	0.912	0.510	0.567	0.276	0.438	0.766	1.000
9186	JAKMIP1	janus kinase and microtubule interacting protein 1	2072852	3	3	3	1	0	0	0	2	1	0	0.820	0.812	0.345	0.634	0.488	0.766	1.000
9187	CD46	CD46 molecule, complement regulatory protein	1280351	2	2	2	1	0	0	0	1	1	0	0.400	0.932	0.860	0.226	1.000	0.766	1.000
9188	LRFN1	leucine rich repeat and fibronectin type III domain containing 1	806996	2	2	2	0	1	0	0	0	1	0	0.400	0.667	0.971	0.377	1.000	0.766	1.000
9189	ENTPD8	ectonucleoside triphosphate diphosphohydrolase 8	1028511	1	1	1	0	0	1	0	0	0	0	0.766	0.591	NaN	NaN	NaN	0.766	1.000
9190	SLC25A35	solute carrier family 25, member 35	795420	1	1	1	0	0	0	0	1	0	0	0.766	0.827	NaN	NaN	NaN	0.766	1.000
9191	DNAJB14	DnaJ (Hsp40) homolog, subfamily B, member 14	1127994	1	1	1	1	1	0	0	0	0	0	0.767	0.959	NaN	NaN	NaN	0.767	1.000
9192	ABCA12	ATP-binding cassette, sub-family A (ABC1), member 12	7833113	12	12	12	5	0	7	4	1	0	0	1.000	0.843	0.592	0.148	0.400	0.767	1.000
9193	XAB2	XPA binding protein 2	1953272	3	3	3	3	2	0	0	1	0	0	1.000	0.966	0.293	0.902	0.400	0.767	1.000
9194	GSN	gelsolin (amyloidosis, Finnish type)	2086655	2	2	2	1	0	0	0	0	2	0	0.891	0.956	0.326	0.684	0.449	0.767	1.000
9195	BMP5	bone morphogenetic protein 5	1356489	4	3	4	1	1	1	0	1	1	0	0.518	0.716	0.611	0.914	0.774	0.767	1.000
9196	YIPF2	Yip1 domain family, member 2	818045	1	1	1	0	0	0	1	0	0	0	0.767	0.685	NaN	NaN	NaN	0.767	1.000
9197	ACER2	alkaline ceramidase 2	795201	1	1	1	0	0	0	0	1	0	0	0.767	0.830	NaN	NaN	NaN	0.767	1.000
9198	ALS2CL	ALS2 C-terminal like	2495189	3	3	3	0	1	0	1	1	0	0	0.752	0.442	0.630	0.186	0.533	0.767	1.000
9199	TMPRSS2	transmembrane protease, serine 2	1359475	1	1	1	0	0	0	0	0	1	0	0.767	0.779	NaN	NaN	NaN	0.767	1.000
9200	GDF2	growth differentiation factor 2	1143643	2	2	2	0	1	0	1	0	0	0	0.401	0.486	0.233	0.639	1.000	0.767	1.000
9201	PWP2	PWP2 periodic tryptophan protein homolog (yeast)	2514854	4	4	4	0	0	3	0	1	0	0	0.471	0.350	0.761	0.353	0.852	0.767	1.000
9202	ITGA7	integrin, alpha 7	3460718	5	3	5	2	3	1	1	0	0	0	0.973	0.714	0.902	0.191	0.412	0.767	1.000
9203	CAB39	calcium binding protein 39	1030642	1	1	1	1	0	0	1	0	0	0	0.768	0.970	NaN	NaN	NaN	0.768	1.000
9204	TICAM1	toll-like receptor adaptor molecule 1	1701116	2	2	2	0	1	0	0	0	1	0	0.796	0.456	0.0741	0.804	0.504	0.768	1.000
9205	ANKRD13B	ankyrin repeat domain 13B	1076180	1	1	1	0	1	0	0	0	0	0	0.768	0.762	NaN	NaN	NaN	0.768	1.000
9206	KBTBD6	kelch repeat and BTB (POZ) domain containing 6	1967728	5	4	5	1	1	1	0	2	1	0	0.655	0.636	0.535	0.429	0.613	0.768	1.000
9207	DGKB	diacylglycerol kinase, beta 90kDa	2436956	5	5	4	2	2	1	0	0	2	0	0.858	0.785	0.681	0.200	0.468	0.768	1.000
9208	BZW2	basic leucine zipper and W2 domains 2	1267571	1	1	1	0	0	1	0	0	0	0	0.768	0.749	NaN	NaN	NaN	0.768	1.000
